time: 2017-09-27 21:11:57, latitude: 40.4319, longitude: -86.9262, velocity: 0.102889 m/s

time: 2017-09-27 21:12:02, latitude: 40.4319, longitude: -86.9262, velocity: 0.118322 m/s

time: 2017-09-27 21:12:07, latitude: 40.4319, longitude: -86.9262, velocity: 0.396122 m/s

time: 2017-09-27 21:12:12, latitude: 40.4319, longitude: -86.9262, velocity: 0.210922 m/s

time: 2017-09-27 21:12:17, latitude: 40.4319, longitude: -86.9262, velocity: 0.421844 m/s

time: 2017-09-27 21:12:23, latitude: 40.4319, longitude: -86.9262, velocity: 0.5556 m/s

time: 2017-09-27 21:12:28, latitude: 40.4319, longitude: -86.9262, velocity: 0.421844 m/s

time: 2017-09-27 21:12:33, latitude: 40.4319, longitude: -86.9262, velocity: 0.421844 m/s

time: 2017-09-27 21:12:38, latitude: 40.4319, longitude: -86.9262, velocity: 0.262366 m/s

time: 2017-09-27 21:12:43, latitude: 40.4319, longitude: -86.9262, velocity: 0.2778 m/s

time: 2017-09-27 21:12:48, latitude: 40.4318, longitude: -86.9262, velocity: 0.380689 m/s

time: 2017-09-27 21:12:53, latitude: 40.4318, longitude: -86.9262, velocity: 0.5556 m/s

time: 2017-09-27 21:12:58, latitude: 40.4318, longitude: -86.9262, velocity: 0.385833 m/s

time: 2017-09-27 21:13:03, latitude: 40.4318, longitude: -86.9262, velocity: 0.406411 m/s

time: 2017-09-27 21:13:08, latitude: 40.4318, longitude: -86.9262, velocity: 0.3704 m/s

time: 2017-09-27 21:13:13, latitude: 40.4318, longitude: -86.9262, velocity: 0.257222 m/s

time: 2017-09-27 21:13:18, latitude: 40.4318, longitude: -86.9262, velocity: 0.246933 m/s

time: 2017-09-27 21:13:23, latitude: 40.4318, longitude: -86.9262, velocity: 0.257222 m/s

time: 2017-09-27 21:13:28, latitude: 40.4318, longitude: -86.9262, velocity: 0.282944 m/s

time: 2017-09-27 21:13:33, latitude: 40.4318, longitude: -86.9262, velocity: 0.0720222 m/s

time: 2017-09-27 21:13:38, latitude: 40.4318, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:13:43, latitude: 40.4318, longitude: -86.9262, velocity: 0.236644 m/s

time: 2017-09-27 21:13:48, latitude: 40.4318, longitude: -86.9262, velocity: 0.108033 m/s

time: 2017-09-27 21:13:53, latitude: 40.4318, longitude: -86.9262, velocity: 0.0771666 m/s

time: 2017-09-27 21:13:58, latitude: 40.4318, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:14:03, latitude: 40.4318, longitude: -86.9262, velocity: 0.262366 m/s

time: 2017-09-27 21:14:08, latitude: 40.4318, longitude: -86.9262, velocity: 0.190344 m/s

time: 2017-09-27 21:14:13, latitude: 40.4318, longitude: -86.9262, velocity: 0.2315 m/s

time: 2017-09-27 21:14:19, latitude: 40.4318, longitude: -86.9262, velocity: 0.118322 m/s

time: 2017-09-27 21:14:24, latitude: 40.4318, longitude: -86.9262, velocity: 0.0565888 m/s

time: 2017-09-27 21:14:29, latitude: 40.4318, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:14:34, latitude: 40.4318, longitude: -86.9262, velocity: 0.133755 m/s

time: 2017-09-27 21:14:39, latitude: 40.4318, longitude: -86.9262, velocity: 0.102889 m/s

time: 2017-09-27 21:14:44, latitude: 40.4318, longitude: -86.9262, velocity: 0.2315 m/s

time: 2017-09-27 21:14:49, latitude: 40.4318, longitude: -86.9262, velocity: 0.164622 m/s

time: 2017-09-27 21:14:54, latitude: 40.4318, longitude: -86.9262, velocity: 0.0874555 m/s

time: 2017-09-27 21:14:59, latitude: 40.4318, longitude: -86.9262, velocity: 0.1852 m/s

time: 2017-09-27 21:15:04, latitude: 40.4318, longitude: -86.9262, velocity: 0.303522 m/s

time: 2017-09-27 21:15:09, latitude: 40.4318, longitude: -86.9262, velocity: 0.385833 m/s

time: 2017-09-27 21:15:14, latitude: 40.4318, longitude: -86.9262, velocity: 0.118322 m/s

time: 2017-09-27 21:15:19, latitude: 40.4318, longitude: -86.9262, velocity: 0.118322 m/s

time: 2017-09-27 21:15:24, latitude: 40.4319, longitude: -86.9262, velocity: 0.149189 m/s

time: 2017-09-27 21:15:29, latitude: 40.4319, longitude: -86.9262, velocity: 0.174911 m/s

time: 2017-09-27 21:15:34, latitude: 40.4319, longitude: -86.9262, velocity: 0.190344 m/s

time: 2017-09-27 21:15:39, latitude: 40.4319, longitude: -86.9262, velocity: 0.113178 m/s

time: 2017-09-27 21:15:44, latitude: 40.4319, longitude: -86.9262, velocity: 0.1389 m/s

time: 2017-09-27 21:15:49, latitude: 40.4319, longitude: -86.9262, velocity: 0.190344 m/s

time: 2017-09-27 21:15:54, latitude: 40.4319, longitude: -86.9262, velocity: 0.180055 m/s

time: 2017-09-27 21:15:59, latitude: 40.4319, longitude: -86.9262, velocity: 0.128611 m/s

time: 2017-09-27 21:16:04, latitude: 40.4319, longitude: -86.9262, velocity: 0.159478 m/s

time: 2017-09-27 21:16:09, latitude: 40.4319, longitude: -86.9262, velocity: 0.102889 m/s

time: 2017-09-27 21:16:14, latitude: 40.4319, longitude: -86.9262, velocity: 0.0668777 m/s

time: 2017-09-27 21:16:20, latitude: 40.4319, longitude: -86.9262, velocity: 0.0257222 m/s

time: 2017-09-27 21:16:25, latitude: 40.4319, longitude: -86.9262, velocity: 0.0977444 m/s

time: 2017-09-27 21:16:30, latitude: 40.4319, longitude: -86.9262, velocity: 0.210922 m/s

time: 2017-09-27 21:16:35, latitude: 40.4319, longitude: -86.9263, velocity: 0.2315 m/s

time: 2017-09-27 21:16:40, latitude: 40.4319, longitude: -86.9263, velocity: 0.246933 m/s

